navio_/_viagem.1,berço,estimativa_atracação_etb,atracação,atraso_etb_atracacao
LYON II,CSD,2024-06-01 00:30:00,2024-06-01 01:53:00,1.3833333333333333
STAR LUSTER,CSD,2024-06-01 07:00:00,2024-06-01 09:49:00,2.816666666666667
MAERSK LOTA,CSD,2024-08-01 18:30:00,2024-08-01 19:45:00,1.25
PRINCESSE OUI,CAL,2024-03-02 14:30:00,2024-04-02 15:20:00,744.8333333333334
GREEN SANTOS,CSD,2024-05-02 22:30:00,2024-05-02 23:35:00,1.0833333333333333
VICENTE PINZON,CSD,2024-06-02 19:30:00,2024-06-02 21:12:00,1.7
CMA CGM AMAZON,CSD,2024-07-02 16:30:00,2024-07-02 21:28:00,4.966666666666667
LAURA,CAL,2024-10-02 02:00:00,2024-10-02 04:50:00,2.8333333333333335
MSC MAXINE,CAM,2024-10-02 09:00:00,2024-10-02 10:28:00,1.4666666666666666
COSCO SHIPPING CHANG QING,CAM,2024-11-02 00:30:00,2024-11-02 02:35:00,2.0833333333333335
FERNAO DE MAGALHAES,CSD,2024-02-03 00:30:00,2024-02-03 04:20:00,3.8333333333333335
MSC ADONIS,CAM,2024-03-03 01:30:00,2024-03-03 06:05:00,4.583333333333333
MAERSK JALAN,CSD,2024-03-03 14:00:00,2024-03-03 16:01:00,2.0166666666666666
PARIS II,CAM,2024-03-03 22:00:00,2024-03-03 23:45:00,1.75
HANS SCHULTE,CSD,2024-04-03 23:30:00,2024-05-03 00:30:00,697.0
MSC CHLOE,CAM,2024-05-03 10:00:00,2024-05-03 11:11:00,1.1833333333333333
SORSI,CAL,2024-08-03 00:00:00,2024-08-03 14:10:00,14.166666666666666
CMA CGM BERLIOZ,CSD,2024-09-03 20:00:00,2024-09-03 22:55:00,2.9166666666666665
GSL ARCADIA,CSD,2024-10-03 22:00:00,2024-11-03 04:00:00,726.0
LOGIN JACARANDA,CAM,2024-11-03 03:30:00,2024-11-03 08:25:00,4.916666666666667
COSCO SHIPPING WISDOM,CSD,2024-11-03 16:30:00,2024-12-03 19:51:00,723.35
BARTOLOMEU DIAS,CAM,2024-01-04 04:00:00,2024-01-04 05:51:00,1.85
CISNES,CSD,2024-02-04 12:30:00,2024-02-04 13:37:00,1.1166666666666667
ARAMIS,CAM,2024-02-04 23:00:00,2024-03-04 07:00:00,680.0
MAERSK LOTA,CAM,2024-03-04 18:30:00,2024-03-04 19:42:00,1.2
APL TURKEY,CSD,2024-05-04 10:30:00,2024-05-04 12:35:00,2.0833333333333335
VICENTE PINZON,CSD,2024-07-04 14:30:00,2024-07-04 16:01:00,1.5166666666666666
MSC BELMONTE III,CSD,2024-10-04 00:30:00,2024-10-04 01:58:00,1.4666666666666666
COSCO SHIPPING GRACE,CAM,2024-01-05 22:00:00,2024-01-05 23:45:00,1.75
MSC BELMONTE III,CAM,2024-04-05 11:30:00,2024-04-05 12:31:00,1.0166666666666666
MONTE SARMIENTO,CSD,2024-06-05 04:30:00,2024-06-05 06:00:00,1.5
MSC ALTAMIRA,CSD,2024-01-06 22:30:00,2024-01-06 23:50:00,1.3333333333333333
BARTOLOMEU DIAS,CSD,2024-03-06 00:00:00,2024-03-06 01:43:00,1.7166666666666666
MSC CASSANDRE,CAM,2024-03-06 12:00:00,2024-03-06 13:06:00,1.1
LOGIN JACARANDA,CSD,2024-03-06 19:00:00,2024-03-06 21:19:00,2.316666666666667
CARDIFF,CSD,2024-04-06 16:30:00,2024-04-06 19:38:00,3.1333333333333333
CMA CGM SANTOS,CSD,2024-06-06 23:00:00,2024-07-06 01:24:00,698.4
MAERSK BENTONVILLE,CAM,2024-12-06 09:30:00,2024-12-06 10:51:00,1.35
LOGIN JACARANDA,CAM,2024-01-06 09:30:00,2024-01-07 10:10:00,24.666666666666668
CMA CGM SANTOS,CAM,2024-05-07 16:15:00,2024-05-07 18:44:00,2.4833333333333334
MSC PARIS,CSD,2024-06-07 17:00:00,2024-06-07 18:24:00,1.4
MSC ANCHORAGE,CAM,2024-05-08 12:30:00,2024-05-08 13:44:00,1.2333333333333334
CMA CGM MERCANTOUR,CSD,2024-06-08 18:15:00,2024-06-08 19:44:00,1.4833333333333334
BBC NORWAY,CAM,2024-12-08 16:30:00,2024-12-08 18:38:00,2.1333333333333333
CMA CGM AMAZON,CSD,2024-03-09 14:00:00,2024-03-09 15:20:00,1.3333333333333333
LOGIN POLARIS,CAM,2024-03-09 22:30:00,2024-03-09 23:45:00,1.25
MSC ALTAMIRA,CSD,2024-09-09 23:30:00,2024-10-09 02:10:00,698.6666666666666
MAERSK GANGES,CSD,2024-01-10 01:30:00,2024-01-10 03:35:00,2.0833333333333335
LOGIN JACARANDA,CAM,2024-01-10 00:30:00,2024-01-10 07:35:00,7.083333333333333
CAUQUENES,CAM,2024-01-10 21:30:00,2024-02-10 03:29:00,725.9833333333333
GREEN RIO DE JANEIRO,CSD,2024-02-10 05:30:00,2024-02-10 10:35:00,5.083333333333333
AMERICO VESPUCIO,CAM,2024-02-10 19:30:00,2024-02-10 20:50:00,1.3333333333333333
SUAPE EXPRESS,CSD,2024-03-10 16:30:00,2024-03-10 19:06:00,2.6
CMA CGM MAUPASSANT,CSD,2024-05-10 05:00:00,2024-05-10 07:30:00,2.5
LOGIN ENDURANCE,CAM,2024-05-10 18:30:00,2024-05-10 19:54:00,1.4
BARTOLOMEU DIAS,CAM,2024-06-10 15:30:00,2024-06-10 17:20:00,1.8333333333333333
MONTE PASCOAL,CAM,2024-08-10 02:30:00,2024-08-10 08:32:00,6.033333333333333
DELIGHT DIVA,CAL,2024-08-10 16:00:00,2024-09-10 06:50:00,734.8333333333334
LOGIN POLARIS,CAM,2024-09-10 09:00:00,2024-09-10 10:15:00,1.25
COSCO SHIPPING GRACE,CAM,2024-10-10 11:00:00,2024-10-10 19:00:00,8.0
MSC VITA,CSD,2024-11-10 03:00:00,2024-11-10 04:40:00,1.6666666666666667
MSC EMMA,CSD,2024-12-10 05:00:00,2024-12-10 15:11:00,10.183333333333334
GREEN KEMI,CAM,2024-02-11 12:00:00,2024-02-11 22:09:00,10.15
BARTOLOMEU DIAS,CSD,2024-03-11 07:00:00,2024-03-11 08:03:00,1.05
MSC ALIYA,CSD,2024-07-11 00:30:00,2024-07-11 01:45:00,1.25
BF HAMBURG,CAM,2024-08-11 17:30:00,2024-08-11 19:10:00,1.6666666666666667
MSC CLEA,CSD,2024-09-11 13:00:00,2024-09-11 15:10:00,2.1666666666666665
LOGIN JACARANDA,CAM,2024-10-11 12:45:00,2024-10-11 15:00:00,2.25
ZHONG YUAN HAI YUN CHUANG XIN,CSD,2024-11-11 04:00:00,2024-11-11 07:46:00,3.7666666666666666
VICENTE PINZON,CAM,2024-11-11 08:30:00,2024-11-11 10:10:00,1.6666666666666667
MAERSK LAMANAI,CSD,2024-11-11 13:30:00,2024-11-11 16:00:00,2.5
VICENTE PINZON,CAM,2024-01-12 18:30:00,2024-02-12 04:12:00,729.7
MSC SAVONA,CSD,2024-04-12 09:00:00,2024-04-12 10:16:00,1.2666666666666666
COSCO SHIPPING XING WANG,CSD,2024-05-12 00:00:00,2024-05-12 07:20:00,7.333333333333333
MSC DOUALA VIII,CSD,2024-05-12 16:00:00,2024-05-12 18:35:00,2.5833333333333335
LOGIN DISCOVERY,CAM,2024-07-12 10:00:00,2024-07-12 12:06:00,2.1
MAERSK GANGES,CAM,2024-10-12 01:00:00,2024-10-12 02:10:00,1.1666666666666667
MSC ORION,CSD,2024-11-12 07:00:00,2024-11-12 09:20:00,2.3333333333333335
MSC ATHENS,CSD,2025-02-01 10:00:00,2025-02-01 12:08:00,2.1333333333333333
MAERSK GANGES,CAM,2025-06-01 12:30:00,2025-06-01 13:40:00,1.1666666666666667
MSC EUGENIA,CSD,2025-11-01 18:00:00,2025-11-01 19:11:00,1.1833333333333333
LOGIN JATOBA,CAM,2025-01-02 17:30:00,2025-01-02 18:42:00,1.2
BF HAMBURG,CAM,2025-02-02 23:00:00,2025-03-02 00:10:00,649.1666666666666
ATHENS GLORY,CSD,2025-05-02 01:00:00,2025-05-02 02:56:00,1.9333333333333333
ENSENADA,CAM,2025-05-02 13:50:00,2025-05-02 15:05:00,1.25
MSC BARBARA,CAM,2025-06-02 12:00:00,2025-06-02 14:48:00,2.8
XIAMEN EXPRESS,CSD,2025-06-02 21:00:00,2025-06-02 23:14:00,2.2333333333333334
VICENTE PINZON,CSD,2025-09-02 15:00:00,2025-09-02 16:20:00,1.3333333333333333
MSC PEGASUS VII,CAM,2025-10-02 10:30:00,2025-10-02 12:18:00,1.8
SEBASTIAO CABOTO,CAM,2025-06-03 05:00:00,2025-06-03 06:13:00,1.2166666666666666
CMA CGM MERCANTOUR,CAM,2025-06-03 20:00:00,2025-06-03 21:21:00,1.35
MAERSK GANGES,CSD,2025-09-03 15:00:00,2025-09-03 16:10:00,1.1666666666666667
CZECH,CAM,2025-10-03 08:00:00,2025-10-03 15:16:00,7.266666666666667
CMA CGM COLUMBIA,CSD,2025-10-03 19:30:00,2025-10-03 21:13:00,1.7166666666666666
SEBASTIAO CABOTO,CAM,2025-03-04 05:00:00,2025-03-04 06:02:00,1.0333333333333334
BORDO MAVI,CAM,2025-06-04 10:00:00,2025-06-04 11:13:00,1.2166666666666666
GREEN MUNGUBA,CSD,2025-07-04 11:30:00,2025-07-04 12:48:00,1.3
STAMINA DIVA,CAL,2025-09-04 09:00:00,2025-09-04 18:28:00,9.466666666666667
MAERSK MONTE AZUL,CAM,2025-01-05 19:00:00,2025-01-05 21:25:00,2.4166666666666665
MAERSK LEON,CAM,2025-05-05 21:00:00,2025-05-05 22:40:00,1.6666666666666667
