navio_/_viagem.1,chegada_na_barra,atracação,espera_barra_atracacao
COSCO SHIPPING PENG BO,2024-02-01 05:00:00,2024-02-01 15:41:00,10.683333333333334
LYON II,2024-05-01 23:00:00,2024-06-01 01:53:00,722.8833333333333
STAR LUSTER,2024-04-01 13:42:00,2024-06-01 09:49:00,1460.1166666666666
MSC DUBAI VII,2024-06-01 07:00:00,2024-06-01 22:38:00,15.633333333333333
PRINCESSE OUI,2024-03-02 05:00:00,2024-04-02 15:20:00,754.3333333333334
VICENTE PINZON,2024-06-02 10:40:00,2024-06-02 21:12:00,10.533333333333333
CMA CGM AMAZON,2024-06-02 13:00:00,2024-07-02 21:28:00,728.4666666666667
LAURA,2024-07-02 20:00:00,2024-10-02 04:50:00,2192.8333333333335
COSCO SHIPPING CHANG QING,2024-09-02 15:30:00,2024-11-02 02:35:00,1451.0833333333333
MSC ADONIS,2024-02-03 09:00:00,2024-03-03 06:05:00,693.0833333333334
MAERSK JALAN,2024-02-03 08:00:00,2024-03-03 16:01:00,704.0166666666667
HANS SCHULTE,2024-04-03 22:00:00,2024-05-03 00:30:00,698.5
MSC ILONA,2024-09-03 17:30:00,2024-10-03 08:50:00,711.3333333333334
CISNES,2024-01-04 11:00:00,2024-02-04 13:37:00,746.6166666666667
ARAMIS,2024-02-04 10:00:00,2024-03-04 07:00:00,693.0
MSC BELMONTE III,2024-09-04 23:30:00,2024-10-04 01:58:00,698.4666666666667
PEDRO ALVARES CABRAL,2024-10-04 23:00:00,2024-11-04 00:27:00,721.45
MSC ATHENS,2024-04-05 14:00:00,2024-05-05 17:46:00,723.7666666666667
MAERSK MONTE AZUL,2024-10-05 20:00:00,2024-11-05 15:50:00,739.8333333333334
BARTOLOMEU DIAS,2024-02-06 22:45:00,2024-03-06 01:43:00,674.9666666666667
MSC CASSANDRE,2024-03-06 04:00:00,2024-03-06 13:06:00,9.1
LOGIN JACARANDA,2024-03-06 10:00:00,2024-03-06 21:19:00,11.316666666666666
CARDIFF,2024-04-06 09:38:00,2024-04-06 19:38:00,10.0
PEDRO ALVARES CABRAL,2024-05-06 10:00:00,2024-06-06 00:50:00,734.8333333333334
CMA CGM SANTOS,2024-06-06 23:00:00,2024-07-06 01:24:00,698.4
MONTE OLIVIA,2024-04-07 04:00:00,2024-04-07 12:23:00,8.383333333333333
PEDRO ALVARES CABRAL,2024-04-07 09:30:00,2024-05-07 01:40:00,712.1666666666666
CAPE AKRITAS,2024-04-07 22:00:00,2024-05-07 05:50:00,703.8333333333334
MSC PARIS,2024-05-07 08:00:00,2024-06-07 18:24:00,754.4
SWANSEA,2024-06-07 06:00:00,2024-07-07 10:14:00,724.2333333333333
SEBASTIAO CABOTO,2024-10-07 23:00:00,2024-11-07 01:20:00,722.3333333333334
FEDERAL KATSURA,2024-07-08 08:06:00,2024-08-08 04:00:00,739.9
BBC NORWAY,2024-10-08 18:00:00,2024-12-08 18:38:00,1464.6333333333334
VICENTE PINZON,2024-01-09 20:00:00,2024-02-09 01:40:00,725.6666666666666
COSCO CHANG SHENG,2024-02-09 11:06:00,2024-03-09 00:45:00,685.65
HANS SCHULTE,2024-04-09 11:00:00,2024-04-09 19:10:00,8.166666666666666
MSC ALTAMIRA,2024-09-09 21:00:00,2024-10-09 02:10:00,701.1666666666666
MSC CADIZ,2024-01-10 01:00:00,2024-03-10 17:42:00,1456.7
CMA CGM MAUPASSANT,2024-03-10 06:00:00,2024-05-10 07:30:00,1465.5
LOGIN ENDURANCE,2024-04-10 15:15:00,2024-05-10 19:54:00,724.65
MSC MARIAGRAZIA,2024-04-10 14:30:00,2024-06-10 07:10:00,1456.6666666666667
MONTE PASCOAL,2024-05-10 23:15:00,2024-08-10 08:32:00,2193.2833333333333
PEDRO ALVARES CABRAL,2024-05-10 19:00:00,2024-08-10 18:34:00,2207.5666666666666
MSC ATHOS,2024-06-10 14:00:00,2024-09-10 07:45:00,2201.75
LOGIN POLARIS,2024-06-10 17:00:00,2024-09-10 10:15:00,2201.25
COSCO SHIPPING GRACE,2024-04-10 01:00:00,2024-10-10 19:00:00,4410.0
MSC EMMA,2024-02-10 02:00:00,2024-12-10 15:11:00,7309.183333333333
CISNES,2024-04-11 21:00:00,2024-05-11 13:35:00,712.5833333333334
MSC ALIYA,2024-06-11 23:00:00,2024-07-11 01:45:00,698.75
LOGIN JACARANDA,2024-10-11 02:00:00,2024-10-11 15:00:00,13.0
ZHONG YUAN HAI YUN CHUANG XIN,2024-10-11 13:10:00,2024-11-11 07:46:00,738.6
VICENTE PINZON,2024-01-12 14:00:00,2024-02-12 04:12:00,734.2
LOGIN DISCOVERY,2024-06-12 13:00:00,2024-07-12 12:06:00,719.1
MSC SANTA MARIA,2024-07-12 23:00:00,2024-08-12 01:24:00,722.4
MSC ATHENS,2025-01-01 05:00:00,2025-02-01 12:08:00,751.1333333333333
MSC ALMA VII,2025-04-01 22:00:00,2025-05-01 00:05:00,698.0833333333334
CMA CGM AMAZON,2025-06-01 02:00:00,2025-06-01 22:16:00,20.266666666666666
BF HAMBURG,2025-02-02 21:30:00,2025-03-02 00:10:00,650.6666666666666
ATHENS GLORY,2025-04-02 10:00:00,2025-05-02 02:56:00,712.9333333333333
ENSENADA,2025-04-02 12:30:00,2025-05-02 15:05:00,722.5833333333334
MSC BARBARA,2025-05-02 08:00:00,2025-06-02 14:48:00,750.8
LOGIN POLARIS,2025-01-03 10:00:00,2025-02-03 00:25:00,734.4166666666666
MSC ANTONIA,2025-07-03 23:00:00,2025-08-03 23:35:00,744.5833333333334
CZECH,2025-08-03 23:00:00,2025-10-03 15:16:00,1456.2666666666667
LOGIN EXPERIENCE,2025-10-03 05:50:00,2025-11-03 20:03:00,758.2166666666667
MSC VITA,2025-03-04 09:30:00,2025-04-04 06:58:00,741.4666666666667
BORDO MAVI,2025-04-04 23:55:00,2025-06-04 11:13:00,1451.3
